Folder,RelaxArea,Col1,Col2,Col3,Col4,Col5,Ngags
_nerdsslattice0_01,75500.0,495.567, 13763.3, 0, 15018.4, 0.185673,227
_nerdsslattice0_02,75750.0,501.26, 11611.5, 0, 12825.3, 0.17025,227
_nerdsslattice0_03,76000.0,496.131, 9267.57, 0, 10373.8, 0.133244,227
_nerdsslattice0_04,76250.0,494.047, 7288.33, 0, 8269.65, 0.127955,227
_nerdsslattice0_05,76500.0,504.315, 6021.21, 6.5791e-29, 6886.16, 0.0842562,227
_nerdsslattice0_06,76750.0,502.539, 4448.55, 0, 5267.82, 0.274134,227
_nerdsslattice0_07,77000.0,496.231, 3031.03, 0, 3625.11, 0.0302587,227
_nerdsslattice0_08,77250.0,496.106, 2027.43, 0, 2570.27, 0.0633754,227
_nerdsslattice0_11,75500.0,166.252, 0.00191808, 1.70594e-08, 166.266, 0.000547615,157
_nerdsslattice0_12,75750.0,167.296, 0.00193765, 5.84473e-08, 167.309, 0.000414851,157
_nerdsslattice0_13,76000.0,167.694, 0.00192617, 1.99916e-08, 167.706, 0.000632192,157
_nerdsslattice0_14,76250.0,168.772, 0.0019651, 5.77623e-08, 168.784, 0.000576272,157
_nerdsslattice0_15,76500.0,169.956, 0.00198974, 9.83465e-09, 169.967, 0.00101246,157
_nerdsslattice0_16,76750.0,171.422, 0.00203925, 2.64386e-09, 171.433, 0.000338419,157
_nerdsslattice0_17,77000.0,172.967, 0.00207228, 4.38792e-09, 172.977, 0.00047927,157
_nerdsslattice0_18,77250.0,174.447, 0.00207182, 1.9879e-09, 174.457, 0.000995934,157
_nerdsslattice0_21,78000.0,331.636, 118.272, 0, 450.266, 0.0165516,126
_nerdsslattice0_22,78500.0,364.585, 836.126, 0, 1203.44, 0.0614188,126
_nerdsslattice0_23,79000.0,386.577, 2296.39, 0, 2712.06, 0.114038,126
_nerdsslattice0_24,79500.0,403.77, 4522.14, 0, 5092.41, 0.0616033,126
_nerdsslattice0_25,80000.0,420.537, 7570.04, 0, 8260.83, 0.0709664,126
_nerdsslattice0_26,80500.0,429.571, 11163.1, 0, 11915, 0.0716114,126
_nerdsslattice0_27,81000.0,442.879, 15756.3, 0, 16583.4, 0.0695943,126
_nerdsslattice0_28,81500.0,452.757, 20790.7, 0, 21664.9, 0.217404,126
_nerdsslattice0_31,75000.0,463.704, 13188.5, 0, 14964.2, 0.381804,392
_nerdsslattice0_32,75500.0,461.688, 8504.29, 0, 9878.4, 0.10244,392
_nerdsslattice0_33,76000.0,471.3, 5435.64, 0, 6372.59, 0.0750088,392
_nerdsslattice0_34,76500.0,473.753, 2867.89, 0, 3487.15, 0.129414,392
_nerdsslattice0_35,77000.0,477.289, 1828.58, 0, 2403.1, 0.0523143,392
_nerdsslattice0_36,77500.0,483.178, 1058.16, 0, 1618.01, 0.0543741,392
_nerdsslattice0_37,78000.0,484.589, 505.902, 0, 1078.29, 0.030502,392
_nerdsslattice0_38,78500.0,489.769, 164.467, 0, 744.792, 0.022755,392
_nerdsslattice0_41,78000.0,772.878, 49455.2, 1172.37, 54496.2, 0.589839,588
_nerdsslattice0_42,78500.0,783.777, 40359.7, 1208.34, 44805.1, 0.166422,588
_nerdsslattice0_43,79000.0,777.352, 34645.5, 0, 37956.3, 0.61551,588
_nerdsslattice0_44,79500.0,789.005, 30548.7, 0, 34137.4, 0.436563,588
_nerdsslattice0_45,80000.0,801.536, 25394.1, 0, 28859.1, 0.163814,588
_nerdsslattice0_46,80500.0,778.225, 19006.7, 0, 22893.3, 0.129908,588
_nerdsslattice0_47,81000.0,780.751, 13903.2, 0, 17333.8, 0.215002,588
_nerdsslattice0_48,81500.0,784.618, 9700.76, 0, 12579, 0.10984,588
_nerdsslattice1_01,76000.0,61782.7, 2.87359e+06, 6.8467e+06, 4.38235e+07, 48.1795,796
_nerdsslattice1_02,76500.0,21776.8, 2.29366e+06, 3.09627e+06, 2.39567e+07, 23.2688,796
_nerdsslattice1_03,77000.0,58389.5, 2.717e+06, 5.78648e+06, 5.37391e+07, 52.3002,796
_nerdsslattice1_04,77500.0,118607, 3.59143e+06, 1.15384e+07, 5.38105e+07, 41.1588,796
_nerdsslattice1_05,78000.0,78720, 2.89759e+06, 8.43494e+06, 5.34092e+07, 41.4654,796
_nerdsslattice1_06,78500.0,60891.1, 2.64667e+06, 4.7825e+06, 3.71478e+07, 100.724,796
_nerdsslattice1_07,79000.0,112562, 2.88803e+06, 8.41469e+06, 3.87893e+07, 87.6019,796
_nerdsslattice1_08,79500.0,16949.7, 1.87664e+06, 2.63916e+06, 2.65492e+07, 140.091,796
_nerdsslattice1_11,75500.0,24.5572, 8.21545e-05, 4.48724e-06, 24.5745, 0.000141748,65
_nerdsslattice1_12,75750.0,24.4147, 7.41855e-05, 0, 24.4323, 0.000862369,65
_nerdsslattice1_13,76000.0,25.2179, 9.59701e-05, 3.85579e-06, 25.2344, 0.000310864,65
_nerdsslattice1_14,76250.0,60.7047, 49.18, 0, 109.928, 0.00540593,65
_nerdsslattice1_15,76500.0,66.6218, 262.43, 0, 329.446, 0.0106241,65
_nerdsslattice1_16,76750.0,68.0705, 634.422, 0, 704.966, 0.0360425,65
_nerdsslattice1_17,77000.0,70.3884, 1242.89, 0, 1313.68, 0.0175396,65
_nerdsslattice1_18,77250.0,73.1185, 2054.3, 0, 2130.09, 0.117504,65
_nerdsslattice1_21,78000.0,66.0495, 5756.2, 0, 5862.51, 0.084297,43
_nerdsslattice1_22,78500.0,68.2414, 9115.09, 0, 9247.22, 0.131198,43
_nerdsslattice1_23,79000.0,69.5013, 13199.5, 0, 13344.7, 0.290633,43
_nerdsslattice1_24,79500.0,70.0883, 18017.9, 475.321, 18670.8, 0.149876,43
_nerdsslattice1_25,80000.0,70.6742, 23628.6, 0, 23825.1, 0.162327,43
_nerdsslattice1_26,80500.0,71.7822, 29870.7, 474.993, 30576.1, 0.128853,43
_nerdsslattice1_27,81000.0,73.8318, 36443.9, 1423.39, 38119.2, 0.135945,43
_nerdsslattice1_28,81500.0,74.1616, 44584.5, 0, 44853.3, 0.160923,43
_nerdsslattice1_31,79000.0,498.753, 12.2525, 0, 575.65, 0.0207728,392
_nerdsslattice1_32,79500.0,508.978, 2.38826, 0, 532.937, 0.0137633,392
_nerdsslattice1_33,80000.0,543.747, 58.6547, 0, 619.73, 0.00993352,392
_nerdsslattice1_34,80500.0,581.992, 224.172, 0, 880.556, 0.0161869,392
_nerdsslattice1_35,81000.0,619.89, 594.966, 0, 1298.37, 0.0459079,392
_nerdsslattice1_36,81500.0,657.478, 1133.42, 0, 1890.56, 0.0565517,392
_nerdsslattice1_37,82000.0,701.372, 2289.51, 0, 3174.83, 0.0354191,392
_nerdsslattice1_38,82500.0,744.219, 4484.54, 0, 6077.34, 0.153624,392
_nerdsslattice1_41,82000.0,790.236, 6280.05, 0, 8353.73, 0.193716,588
_nerdsslattice1_42,82500.0,789.951, 4750.24, 0, 6722.74, 0.141303,588
_nerdsslattice1_43,83000.0,804.794, 3357.2, 0, 5346.89, 0.265456,588
_nerdsslattice1_44,83500.0,808.252, 2153.32, 0, 4237.27, 0.074044,588
_nerdsslattice1_45,84000.0,812.211, 1147.41, 7.78544e-24, 3150.52, 0.153177,588
_nerdsslattice1_46,84500.0,824.695, 529.564, 0, 2646.51, 0.0714661,588
_nerdsslattice1_47,85000.0,834.386, 193.398, 0, 2323.56, 0.180433,588
_nerdsslattice1_48,85500.0,865.256, 16.6368, 0, 2253.44, 0.0781326,588
_nerdsslattice1_51,77500.0,496.911, 1266.55, 0, 1796.27, 0.0277505,227
_nerdsslattice1_52,78000.0,498.308, 523.266, 0, 1038.99, 0.0214399,227
_nerdsslattice1_53,78500.0,500.942, 250.072, 0, 760.778, 0.0127869,227
_nerdsslattice1_54,79000.0,467.948, 0.0182622, 0, 468.469, 0.0018548,227
_nerdsslattice1_55,79500.0,454.91, 0.0163629, 0, 455.082, 0.00122597,227
_nerdsslattice1_56,80000.0,454.963, 0.0172415, 0, 455.021, 0.00129936,227
_nerdsslattice1_57,80500.0,503.441, 0.0573358, 0, 504.016, 0.00157466,227
_nerdsslattice1_58,81000.0,513.734, 0.073359, 0, 514.32, 0.00243037,227
_nerdsslattice2_01,72750.0,250.544, 8686.51, 2.30308e-22, 9135.44, 0.250991,157
_nerdsslattice2_02,73000.0,250.041, 6665.85, 1.31582e-28, 7066.1, 0.171445,157
_nerdsslattice2_03,73250.0,246.275, 4899.54, 0, 5216.32, 0.060323,157
_nerdsslattice2_04,73500.0,250.435, 3725.89, 0, 4012.4, 0.0374264,157
_nerdsslattice2_05,73750.0,249.612, 2450.44, 1.53096e-25, 2711.16, 0.0392614,157
_nerdsslattice2_06,74000.0,249.764, 1548.86, 0, 1803.71, 0.0507596,157
_nerdsslattice2_07,74250.0,247.727, 808.68, 0, 1057.14, 0.0206005,157
_nerdsslattice2_08,74500.0,247.284, 334.749, 0, 582.388, 0.0156461,157
_nerdsslattice2_11,75500.0,191.131, 0.00360259, 0, 191.145, 0.0005356,126
_nerdsslattice2_12,75750.0,183.298, 0.00292181, 0, 183.309, 0.000776684,126
_nerdsslattice2_13,76000.0,184.598, 0.0030579, 0, 184.609, 0.000439855,126
_nerdsslattice2_14,76250.0,191.481, 0.00552383, 0, 191.495, 0.00128444,126
_nerdsslattice2_15,76500.0,191.71, 0.00346725, 0, 191.72, 0.000923065,126
_nerdsslattice2_16,76750.0,201.384, 0.00427607, 0, 201.398, 0.000791657,126
_nerdsslattice2_17,77000.0,202.76, 0.00427098, 0, 202.773, 0.000788381,126
_nerdsslattice2_18,77250.0,214.794, 0.00564907, 0, 214.809, 0.000899543,126
_nerdsslattice2_21,74000.0,16.4472, 5.18852e-05, 2.96896e-21, 16.4622, 0.000162696,43
_nerdsslattice2_22,74500.0,16.3511, 5.00453e-05, 9.70958e-21, 16.3661, 0.000112631,43
_nerdsslattice2_23,75000.0,16.5945, 5.14925e-05, 3.81691e-21, 16.6094, 0.000332427,43
_nerdsslattice2_24,75500.0,16.6028, 5.12935e-05, 2.66758e-20, 16.6165, 0.000313626,43
_nerdsslattice2_25,76000.0,16.7612, 5.23663e-05, 5.73428e-24, 16.7746, 0.000157238,43
_nerdsslattice2_26,76500.0,53.9546, 270.829, 0, 324.876, 0.0270038,43
_nerdsslattice2_27,77000.0,59.5139, 1329.15, 0, 1391.29, 0.0321877,43
_nerdsslattice2_28,77500.0,63.9916, 3145.23, 0, 3246.25, 0.0358308,43
_nerdsslattice2_31,73500.0,42.9014, 6.86273, 0, 49.8725, 0.00236898,65
_nerdsslattice2_32,73750.0,24.3786, 9.18809e-05, 0, 24.3979, 0.000319015,65
_nerdsslattice2_33,74000.0,24.1077, 8.31948e-05, 6.5791e-29, 24.1272, 0.000860898,65
_nerdsslattice2_34,74250.0,24.3735, 8.83408e-05, 0, 24.3925, 0.000200211,65
_nerdsslattice2_35,74500.0,23.9165, 6.90711e-05, 2.81902e-18, 23.9357, 0.000238522,65
_nerdsslattice2_36,74750.0,24.2596, 8.15197e-05, 2.57183e-18, 24.2789, 0.000305838,65
_nerdsslattice2_37,75000.0,24.2752, 7.87506e-05, 0, 24.2939, 0.000484014,65
_nerdsslattice2_38,75250.0,24.1091, 7.04118e-05, 0, 24.1275, 0.000230297,65
_nerdsslattice2_41,86000.0,887.718, 3.11194, 0, 2379.58, 0.0659194,588
_nerdsslattice2_42,86500.0,951.43, 81.6594, 0, 2354.17, 0.0560975,588
_nerdsslattice2_43,87000.0,1010.15, 284.148, 2.53631e-24, 2825.27, 0.0549482,588
_nerdsslattice2_44,87500.0,1101.19, 810.49, 0, 3535.82, 0.0770217,588
_nerdsslattice2_45,88000.0,1187.08, 1412.03, 0, 4398.3, 0.10084,588
_nerdsslattice2_46,88500.0,1287.88, 2103.09, 0, 5263.79, 0.106183,588
_nerdsslattice2_47,89000.0,1420.7, 3227.38, 0, 6704.33, 0.163598,588
_nerdsslattice2_48,89500.0,1491.03, 4939.35, 157.09, 9143.94, 0.077164,588
_nerdsslattice2_51,82000.0,94324, 2.38799e+06, 9.85669e+06, 4.56389e+07, 76.9494,796
_nerdsslattice2_52,83000.0,84745.3, 2.39366e+06, 9.40805e+06, 4.04894e+07, 49.5937,796
_nerdsslattice2_53,84000.0,80751.6, 2.17163e+06, 8.71949e+06, 4.19844e+07, 74.5618,796
_nerdsslattice2_54,85000.0,102159, 1.67526e+06, 5.87132e+06, 3.01796e+07, 8.82648,796
_nerdsslattice2_55,86000.0,102409, 1.94921e+06, 7.95954e+06, 4.66965e+07, 293.284,796
_nerdsslattice2_56,87000.0,91941.9, 1.57318e+06, 5.99614e+06, 3.22101e+07, 28.9085,796
_nerdsslattice2_57,88000.0,28068.9, 1.18959e+06, 3.28894e+06, 2.41688e+07, 12.7364,796
_nerdsslattice2_58,89000.0,94469.2, 1.4255e+06, 6.32751e+06, 3.99316e+07, 182.075,796
_nerdsslattice3_41,84000.0,843.722, 1518.59, 1420.83, 7334.33, 0.498003,588
_nerdsslattice3_42,84500.0,847.527, 756.848, 699.7, 5101.3, 0.211606,588
_nerdsslattice3_43,85000.0,867.563, 249.07, 1221.72, 5989.59, 0.696486,588
_nerdsslattice3_44,85500.0,894.804, 28.9239, 758.997, 5438.36, 0.120312,588
_nerdsslattice3_45,86000.0,916.391, 3.60184, 756.461, 5929.15, 0.232367,588
_nerdsslattice3_46,86500.0,979.783, 111.84, 1103.82, 5884.08, 0.188084,588
_nerdsslattice3_47,87000.0,1042.91, 396.21, 997.673, 6138.32, 0.277017,588
_nerdsslattice3_48,87500.0,1122.84, 907.445, 0, 8521.9, 0.131115,588
_nerdsslattice3_51,90000.0,86460.2, 1.57554e+06, 9.35039e+06, 3.76844e+07, 12.1827,796
_nerdsslattice3_52,94000.0,49007.6, 763573, 4.54027e+06, 2.45469e+07, 46.5316,796
_nerdsslattice3_53,98000.0,72793.6, 738012, 8.83665e+06, 3.82216e+07, 67.9361,796
_nerdsslattice3_54,102000.0,108566, 688874, 8.89349e+06, 3.53945e+07, 27.3908,796
_nerdsslattice3_55,106000.0,77522.3, 430109, 9.48066e+06, 4.23692e+07, 71.9806,796
_nerdsslattice3_56,110000.0,77179.2, 144047, 5.29961e+06, 4.28649e+07, 186.849,796
_nerdsslattice3_57,114000.0,112690, 230777, 1.39058e+07, 5.11826e+07, 2.99896,796
_nerdsslattice3_58,118000.0,110033, 102920, 1.45255e+07, 4.32627e+07, 3.96494,796
